TEMPERATURA_MEDIA;TEMPERATURA_MINIMA;TEMPERATURA_MAXIMA;PRECIPITACAO;FINAL_SEMANA;CONSUMO_CERVEJA
27.3;23.9;32.5;0;NÃO;25.461
27.02;24.5;33.5;0;NÃO;28.972
24.82;22.4;29.9;0;SIM;30.814
23.98;21.5;28.6;1.2;SIM;29.799
23.82;21;28.3;0;NÃO;28.900
23.78;20.1;30.5;12.2;NÃO;28.218
24;19.5;33.7;0;NÃO;29.732
24.9;19.5;32.8;48.6;NÃO;28.397
28.2;21.9;34;4.4;NÃO;24.886
26.76;22.1;34.2;0;SIM;37.937
27.62;22.2;34.8;3.4;SIM;36.254
25.96;21.4;35.4;0;NÃO;25.743
25.52;21.2;34.8;0.8;NÃO;26.990
25.96;21.3;34;1.6;NÃO;31.825
25.86;21.5;32.8;3;NÃO;25.724
26.5;22.3;32.7;2;NÃO;29.938
28.86;22;35.8;0;SIM;37.690
28.26;23.4;35.6;0;SIM;30.524
28.22;22.7;36.5;3.7;NÃO;29.265
27.68;23.3;35.6;0.6;NÃO;35.127
25.32;22.7;30.9;0;NÃO;29.130
21.74;19.2;26.1;31;NÃO;25.795
21.04;18.5;26.1;3.6;NÃO;21.784
23.12;19;29.4;13;SIM;28.348
24.4;18.1;30;0;SIM;31.088
22.4;18.9;28.7;20.8;NÃO;21.520
23.6;20.5;28.7;1.2;NÃO;29.972
25.68;20.1;29.9;4.9;NÃO;22.603
25;21.5;29.2;0;NÃO;22.696
22.8;20.9;26.9;0;NÃO;26.845
21.64;18.5;24.3;0.2;SIM;27.030
24.16;20.6;28;0;SIM;32.057
22.48;20.7;26.5;4.5;NÃO;24.097
23.16;18;31.1;1.6;NÃO;31.655
22.12;19.9;23.7;3.2;NÃO;24.738
20.28;19.1;22.9;5.6;NÃO;19.950
21.06;17.9;25.4;18.4;NÃO;22.821
21.86;17.3;28.7;16.7;SIM;28.893
22.76;17.1;29.5;10.4;SIM;29.926
24;19.3;30.7;0;NÃO;24.062
23.92;20.1;29;32.2;NÃO;21.137
25.38;19.9;30.4;2.2;NÃO;26.805
27.66;23.1;32.7;0;NÃO;26.389
25.54;22.5;32.1;0;NÃO;24.219
24.32;21.1;31.6;0;SIM;30.231
22.9;20;27.6;17.4;SIM;24.968
21.6;18.8;27.3;22.7;NÃO;25.343
22.76;19.7;28;85.3;NÃO;17.399
22.22;19.9;26.4;13.4;NÃO;21.392
23.92;19.9;28.5;2.4;NÃO;22.922
24.72;21.7;28.2;0;NÃO;24.567
25.2;21.4;31.1;0;SIM;30.943
24.44;20.4;30.8;0;SIM;30.825
25.4;20.7;31.4;0;NÃO;25.692
24.3;20.5;31.9;0;NÃO;26.959
22.24;19.3;29.3;2;NÃO;25.366
24.1;19.2;30.3;34.4;NÃO;22.784
24.64;20.4;31.4;0.6;NÃO;26.241
22.4;19.7;27.7;0;SIM;26.467
21.26;18.2;26.3;3;SIM;27.475
22.16;17.2;29.2;0;NÃO;28.749
23.16;19.5;29.5;0;NÃO;24.146
23.68;18.9;30.5;0;NÃO;22.988
24.42;19.7;31.6;0;NÃO;30.300
22.6;19.4;28.5;0;NÃO;22.654
21.92;19.4;26.6;38.2;SIM;29.090
22.2;19.7;24.4;69.2;SIM;24.619
21.36;19.7;23.3;77;NÃO;20.016
23.12;21.2;26.9;9.7;NÃO;23.042
22.88;20.1;28.1;9.5;NÃO;22.933
22.26;19.2;26.9;1.2;NÃO;22.409
22.34;20;26.6;0;NÃO;21.281
22.88;19.9;27.9;12.2;SIM;28.844
22.08;19.1;26.8;0.3;SIM;32.872
21.92;18.6;29.4;22.4;NÃO;20.903
21.92;18.6;25.6;24.2;NÃO;26.275
21.24;19.7;24.1;0;NÃO;20.167
21.78;19.2;27.1;3.2;NÃO;23.628
21.64;18.9;28.2;7.4;NÃO;24.213
20.88;18.5;25.3;14.7;SIM;28.631
19.7;18.1;22.8;1.7;SIM;25.855
19.88;17.1;23.3;19.2;NÃO;21.406
20.98;17.4;26.3;0;NÃO;21.617
21.56;17.1;27.9;0;NÃO;22.401
22.98;18.3;29.8;0;NÃO;27.989
23.32;18;30.8;0;NÃO;24.974
23.28;19.1;29.5;0;SIM;29.760
22.14;20.5;26.6;0;SIM;26.116
22.5;19;25.9;18.6;NÃO;25.850
23.14;20.1;29;1;NÃO;24.925
22.52;19.2;27.5;0;NÃO;21.979
20.92;18.2;26.2;0;NÃO;22.116
21.02;16.3;27.2;0;NÃO;24.867
22.36;17.9;29.4;0;SIM;33.450
22.82;20.1;26.4;0;SIM;32.713
21.36;18.5;27.7;0;NÃO;22.356
17.38;16.1;20;7.1;NÃO;21.004
18.68;14.7;24.3;0.4;NÃO;23.362
19.4;15.9;25.6;0;NÃO;20.298
20.46;17;25.5;0;NÃO;24.862
21.74;17.2;28.4;0;SIM;30.505
19.92;16.8;25.7;0;SIM;25.070
20.88;18.1;25.7;0;NÃO;22.620
21.7;18.4;28.8;0;NÃO;22.001
21.94;18.5;27.4;0;NÃO;23.469
21.26;18.6;26.7;25.4;NÃO;21.735
21.42;18.4;27;37.2;NÃO;21.593
23.36;18.2;29.3;0;SIM;33.822
22.5;20.3;27.2;0;SIM;28.028
24;19.3;29.2;20.2;NÃO;24.304
22.52;19.3;29;0;NÃO;31.108
20.06;18.9;21.6;2.4;NÃO;19.113
21.2;18.6;24.9;14.6;NÃO;23.198
22.52;19.3;28.1;0;NÃO;24.388
19.18;17.4;23.3;0;SIM;27.420
19.04;16.1;23.7;0.8;SIM;30.479
19.82;17.5;24.9;0;NÃO;21.838
20.26;17.2;26.9;0;NÃO;20.812
18.66;16.8;22.7;0;NÃO;19.761
16.22;14.7;18.7;0;NÃO;20.452
17.34;13.4;22;0;NÃO;17.939
19.26;14.7;26.4;0;SIM;25.272
21.04;15.8;26.3;0;SIM;28.049
19.96;17.9;22.3;1;NÃO;25.317
18.14;16.6;20.8;9.9;NÃO;21.826
17.76;15.9;20.4;0;NÃO;20.680
17.8;15.8;21.7;0;NÃO;19.143
16.14;13.9;19.2;0;NÃO;18.146
18.04;13.7;26.1;0;SIM;25.489
16.94;13.7;21;0;SIM;23.537
17.86;15.7;20.6;22.2;NÃO;16.956
17.12;14.2;21.7;0;NÃO;19.052
16.34;14.7;18.9;2.8;NÃO;17.287
16.72;14.2;21;0;NÃO;20.300
16.84;13.6;21.5;0;NÃO;20.538
17.18;13.2;22.3;0;SIM;23.702
18.26;15.4;22.4;0;SIM;28.411
18.6;16.6;21.3;0;NÃO;21.073
18.64;17;22.9;0;NÃO;24.215
18.74;15.9;23.3;0.2;NÃO;19.525
19.46;16.3;25;0;NÃO;20.786
20.26;16.3;25.4;0;NÃO;20.429
19.94;15.9;24.4;0;SIM;27.250
21.8;17.9;26.3;0;SIM;31.387
22.06;17.5;27.4;0;NÃO;26.075
21.28;19.7;24.8;0;NÃO;22.162
22.94;19.7;27.1;0;NÃO;24.258
18.56;16.8;23.2;1.8;NÃO;24.683
17.68;15.3;21.9;7.2;NÃO;21.245
17.52;13.1;22.9;0;SIM;25.937
16.28;13.6;18.4;5.6;SIM;26.081
16.28;15.2;18;2.2;NÃO;16.228
16.04;15;17.5;0.5;NÃO;20.106
17.94;15;21.7;0;NÃO;21.055
18.36;14.6;24.1;0;NÃO;22.772
18.32;14.1;25.3;0;NÃO;25.142
19.66;13.8;26.1;0;SIM;31.129
20.62;15.9;26.2;0;SIM;30.498
20.86;15.2;26.4;0;NÃO;26.150
20.32;15.2;26;0;NÃO;21.327
20.54;15.5;26.2;0;NÃO;22.008
22.72;17.5;26.9;0;NÃO;24.615
18.8;16.9;23.5;0;NÃO;22.375
21.1;15.5;27.4;0;SIM;29.607
22.76;18.1;27.3;0;SIM;32.983
16.02;13.1;23.4;0;NÃO;19.119
14.82;12.1;18.1;9;NÃO;21.029
19.8;13.9;25.1;0;NÃO;23.898
19.88;15.8;26.2;0;NÃO;24.534
14.66;13.2;17.7;3.8;NÃO;16.748
15.82;12.5;20.4;0;SIM;23.055
17.32;12.6;24.6;0;SIM;28.857
18.54;13.1;24.6;0;NÃO;23.022
19.02;14.4;25.5;0;NÃO;27.146
14.54;13.9;18;3.8;NÃO;17.241
14.72;12.1;17.4;1;NÃO;19.463
15.26;12;20.9;0;NÃO;21.860
15.34;10.6;20.8;0;SIM;24.227
15.48;11.2;21.8;0;SIM;27.594
17.2;11;24.4;0;NÃO;24.863
