DIA_SEMANA;HORA;TEMPERATURA;UMIDADE;VELOCIDADE_VENTO;VISIBILIDADE;RADIACAO_SOLAR;CHUVA;NEVE;ESTACAO;FERIADO;FUNCIONAMENTO;BICICLETAS_ALUGADAS
sex;0;-5.2;37;2.2;2000;0;0;0;inverno;não;sim;254
sex;1;-5.5;38;0.8;2000;0;0;0;inverno;não;sim;204
sex;2;-6;39;1;2000;0;0;0;inverno;não;sim;173
sex;3;-6.2;40;0.9;2000;0;0;0;inverno;não;sim;107
sex;4;-6;36;2.3;2000;0;0;0;inverno;não;sim;78
sex;5;-6.4;37;1.5;2000;0;0;0;inverno;não;sim;100
sex;6;-6.6;35;1.3;2000;0;0;0;inverno;não;sim;181
sex;7;-7.4;38;0.9;2000;0;0;0;inverno;não;sim;460
sex;8;-7.6;37;1.1;2000;0.01;0;0;inverno;não;sim;930
sex;9;-6.5;27;0.5;1928;0.23;0;0;inverno;não;sim;490
sex;10;-3.5;24;1.2;1996;0.65;0;0;inverno;não;sim;339
sex;11;-0.5;21;1.3;1936;0.94;0;0;inverno;não;sim;360
sex;12;1.7;23;1.4;2000;1.11;0;0;inverno;não;sim;449
sex;13;2.4;25;1.6;2000;1.16;0;0;inverno;não;sim;451
sex;14;3;26;2;2000;1.01;0;0;inverno;não;sim;447
sex;15;2.1;36;3.2;2000;0.54;0;0;inverno;não;sim;463
sex;16;1.2;54;4.2;793;0.24;0;0;inverno;não;sim;484
sex;17;0.8;58;1.6;2000;0.08;0;0;inverno;não;sim;555
sex;18;0.6;66;1.4;2000;0;0;0;inverno;não;sim;862
sex;19;0;77;1.7;2000;0;0;0;inverno;não;sim;600
sex;20;-0.3;79;1.5;1913;0;0;0;inverno;não;sim;426
sex;21;-0.8;81;0.8;1687;0;0;0;inverno;não;sim;405
sex;22;-0.9;83;1.5;1380;0;0;0;inverno;não;sim;398
sex;23;-1.3;84;1;1265;0;0;0;inverno;não;sim;323
sab;0;-1.8;87;1.1;994;0;0;0;inverno;não;sim;328
sab;1;-2.2;86;0.6;990;0;0;0;inverno;não;sim;308
sab;2;-2.9;86;1.5;1256;0;0;0;inverno;não;sim;262
sab;3;-3.5;81;2.2;1221;0;0;0;inverno;não;sim;167
sab;4;-3.8;79;2;1167;0;0;0;inverno;não;sim;89
sab;5;-4;79;1.5;1202;0;0;0;inverno;não;sim;79
sab;6;-4.3;82;2.1;1178;0;0;0;inverno;não;sim;70
sab;7;-4.4;81;2.5;1276;0;0;0;inverno;não;sim;146
sab;8;-4.2;79;2.1;1436;0.01;0;0;inverno;não;sim;219
sab;9;-2.9;68;1.6;1487;0.3;0;0;inverno;não;sim;328
sab;10;-0.4;57;1.6;1309;0.8;0;0;inverno;não;sim;334
sab;11;1.9;49;1.8;1406;1;0;0;inverno;não;sim;388
sab;12;4.3;41;1.3;1666;1.09;0;0;inverno;não;sim;479
